+-------------------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------------------------+
| Name                          | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                                |
| syrup                         |    1400 |         300 |      2500 |          0 | COMMON   |     false | -                                                    |
| thaumium                      |    2000 |         945 |     10000 |         10 | UNCOMMON |     false | plustic:plustic.molten_thaumium                      |
| tin                           |    2000 |         350 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_tin                                |
| titanium                      |    2000 |         790 |     10000 |         10 | UNCOMMON |     false | plustic:plustic.molten_titanium                      |
| tree_oil                      |     900 |         300 |      1200 |          0 | COMMON   |     false | -                                                    |
| uranium                       |    2000 |         600 |     10000 |          0 | COMMON   |     false | immersiveengineering:molten_uranium                  |
| vapor_of_levity               |     -10 |           5 |       100 |          0 | COMMON   |      true | enderio:block_fluid_vapor_of_levity                  |
| vasholine                     |    3000 |         300 |      1500 |          0 | COMMON   |     false | tp:vasholine                                         |
| vibrant_alloy                 |    9000 |         913 |      3000 |          6 | COMMON   |     false | enderio:block_fluid_vibrant_alloy                    |
| water                         |    1000 |         300 |      1000 |          0 | COMMON   |     false | minecraft:water                                      |
| xpjuice                       |    1200 |         300 |      1200 |          0 | COMMON   |     false | cyclicmagic:xpjuice                                  |
| xu_demonic_metal              |    1000 |        1000 |      1000 |          0 | COMMON   |     false | -                                                    |
| xu_enchanted_metal            |    1000 |        1000 |      1000 |          0 | COMMON   |     false | -                                                    |
| xu_evil_metal                 |    1000 |        1000 |      1000 |          0 | COMMON   |     false | -                                                    |
| yellorium                     |     100 |         295 |       100 |         10 | UNCOMMON |     false | bigreactors:yellorium                                |
| zinc                          |    2000 |         375 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_zinc                               |
+-------------------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------------------------+
| Name                          | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                                |
+-------------------------------+---------+-------------+-----------+------------+----------+-----------+------------------------------------------------------+
